#t_ns,in_ts
7690494694315,73420260061478
7690527982015,73420291755848
7690561267015,73420325695459
7690594557215,73420357561987
7690627850815,73420391930132
7690661135515,73420425500662
7690694425215,73420459221969
7690727720515,73420492753001
7690761003515,73420525936282
7690794291815,73420559407320
7690827589215,73420592244412
7690860871015,73420625911550
7690894160215,73420658951959
7690927450715,73420692887193
7690960763015,73420725248465
7690994028315,73420758969902
7691027318415,73420792622451
7691060608015,73420825614123
7691093897215,73420856930119
7691127187115,73420892015533
7691160475215,73420927201640
7691193766315,73420958969705
7691227054115,73420991610289
7691260354815,73421024552777
7691293633515,73421057616253
7691326924315,73421089946921
7691360217115,73421149702841
7691393502215,73421161588999
7691426792615,73421187292048
7691460088115,73421224198240
7691493369915,73421258390109
7691526658115,73421291745695
7691559956015,73421325175319
7691593239215,73421358479646
7691626526515,73421392141333
7691659816515,73421425037979
7691693106415,73421459682070
7691726394915,73421492965131
7691759684515,73421525825420
7691792974815,73421558711113
7691826276715,73421589854412
7691859553415,73421623979735
7691892841515,73421657114103
7691926141915,73421692657550
7691959420315,73421724511539
7691992714015,73421757832781
7692026000215,73421791091419
7692059289315,73421824584834
7692092583915,73421857594969
7692125868315,73421890635123
7692159158715,73421924305086
7692192452415,73421957815466
7692225736815,73421991219349
7692259024915,73422024935843
7692292371915,73422058132222
7692325604915,73422091487327
7692358892915,73422125223560
7692392202515,73422158644910
7692425473815,73422192997166
7692458760815,73422227038201
7692492051615,73422260467131
7692525341815,73422291411481
7692558629715,73422320792774
7692591919415,73422360361684
7692625207915,73422392979133
7692658498015,73422425768804
7692691787615,73422459178227
7692725080415,73422492223797
7692758366715,73422525326144
7692791656415,73422558313178
7692824950015,73422587993546
7692858234215,73422624558019
7692891524815,73422656773640
7692924818815,73422689702701
7692958102815,73422723736579
7692991391315,73422757272850
7693024687215,73422790870256
7693057970915,73422824690148
7693091259215,73422858530639
7693124550415,73422892107107
7693157868215,73422925255066
7693191127615,73422958627483
7693224417915,73422992601274
7693257719215,73423025372653
7693290995515,73423058737926
7693324286015,73423092067304
7693357575915,73423124908113
7693390864515,73423157907312
7693424153915,73423191047615
7693457446815,73423226036992
7693490733215,73423259501905
7693524021315,73423293511378
7693557316415,73423326205405
7693590601015,73423359638720
7693623921615,73423392661086
7693657184915,73423426021575
7693690469415,73423455743192
7693723758915,73423492386196
7693757054815,73423525809282
7693790337415,73423559268247
7693823626015,73423592965825
7693856917415,73423625724662
7693890204315,73423659236345
7693923494115,73423692319798
7693956784415,73423726027235
7693990073415,73423760346479
7694023362115,73423792804144
7694056652515,73423825450761
7694089942315,73423858669591
7694123231515,73423891343794
7694156520115,73423924986550
7694189813115,73423958665674
7694223099915,73423988798597
7694256388015,73424024427278
7694289685815,73424057661799
7694322967315,73424100812628
7694356256615,73424123983337
7694389551015,73424156980399
7694422835715,73424191037563
7694456126215,73424224230737
7694489442415,73424258058406
7694522703515,73424291288588
7694555991915,73424325564797
7694589300015,73424358429579
7694622570715,73424391931367
7694655860215,73424424840117
7694689150115,73424458847157
7694722439215,73424492257958
7694755728115,73424526085847
7694789018715,73424559152676
7694822308915,73424592512148
7694855596315,73424625570535
7694888886415,73424658428397
7694922179215,73424691575411
7694955498915,73424724622610
7694988753915,73424758123619
7695022049315,73424792049600
7695055342915,73424825377587
7695088624015,73424858796042
7695121917715,73424891430862
7695155202015,73424926441806
7695188491415,73424959327316
7695221785815,73424992953857
7695255069915,73425025883741
7695288359415,73425060022449
7695321648115,73425092488526
7695354938715,73425126327812
7695388226515,73425160048298
7695421517115,73425194629113
7695454806215,73425226774596
7695488094815,73425255842689
7695521384915,73425292955662
7695554674515,73425325947408
7695587962415,73425359166999
7695621252515,73425392569617
7695654573915,73425426416230
7695687831815,73425460749672
7695721120915,73425492964934
7695754415315,73425525691040
7695787699915,73425559905005
7695820988515,73425593911166
7695854283715,73425627154020
7695887568515,73425659529877
7695920887115,73425693783029
7695954152115,73425725864699
7695987436815,73425755882886
7696020725915,73425791239797
7696054015415,73425824525641
7696087304415,73425858721064
7696120593115,73425891171355
7696153883715,73425925011655
7696187174515,73425958199549
7696220461315,73425991654957
7696253751715,73426077387887
7696287040315,73426079171843
7696320329215,73426087287978
7696353619715,73426124374705
7696386913015,73426157997303
7696420199015,73426190729897
7696453487415,73426224467482
7696486781815,73426253499450
7696520067415,73426290978137
7696553354615,73426324192501
7696586650115,73426357314552
7696619934515,73426386962814
7696653223915,73426424601746
7696686518715,73426453508595
7696719803015,73426491767158
7696753092315,73426520218608
7696786381015,73426557941541
7696819670915,73426586758812
7696852959415,73426625389017
7696886249515,73426723204939
7696919538315,73426724721343
7696952846215,73426732728508
7696986118215,73426754679088
7697019408215,73426790109839
7697052695715,73426825946037
7697085985915,73426859127471
7697119280615,73426892235706
7697152563915,73426921634305
7697185854415,73426959487207
7697219177515,73426992330631
7697252470415,73427022835403
7697285721715,73427059447796
7697319016615,73427089692922
7697352300615,73427125428924
7697385590315,73427159756560
7697418885115,73427189715258
7697452168415,73427224461754
7697485459115,73427254421759
7697518747215,73427290787272
7697552037615,73427324116603
7697585325715,73427357880966
7697618615715,73427390763825
7697651904815,73427424947806
7697685193815,73427457646748
7697718484115,73427490227730
7697751774215,73427522634753
7697785062015,73427553803822
7697818352415,73427586449726
7697851646415,73427623744023
7697884930315,73427657271359
7697918220915,73427688275670
7697951543715,73427723884095
7697984798915,73427757353567
7698018088315,73427790752263
7698051383315,73427824433505
7698084669215,73427857407682
7698117964915,73427890253714
7698151251015,73427921014593
7698184535315,73427956356938
7698217824015,73427989362988
7698251113615,73428024119850
7698284405015,73428056927637
7698317693515,73428090736656
7698350982015,73428123995623
7698384272115,73428157703305
7698417560015,73428190038175
7698450850615,73428223614469
7698484138715,73428257885757
7698517428315,73428290602180
7698550718915,73428323877693
7698584044015,73428354463618
7698617296515,73428391352700
7698650587015,73428424704039
7698683910615,73428458059178
7698717165815,73428489465181
7698750454415,73428524687333
7698783749215,73428557641338
7698817034715,73428591176799
7698850325415,73428624454887
7698883617615,73428657737675
7698916901315,73428690951378
7698950192215,73428723716072
7698983479515,73428755380726
7699016770415,73428790648085
7699050060515,73428824385843
7699083349715,73428857503345
