#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7466790921094,14842290632978,14842293632182,14842300329049,14842300338120,14842300402352,14842301130973,14842301742081,14842301777430,14842302616277,14842302857089,14842304683758,14842304690188,14842304690437,14842304771220,14842304912130,14842305897813,14842307621233,14842308052393,14842308561429,14842309124564,14842309492925,14842309507031,14842309518033
7466824211194,14842300334034,14842303390132,14842309522988,14842309532879,14842309602462,14842310365558,14842311146366,14842311154712,14842311976775,14842312188149,14842314030780,14842314037493,14842314037735,14842314151002,14842314361460,14842315358098,14842317209076,14842317687137,14842318190542,14842318815413,14842319143371,14842319169403,14842319182992
7466857501194,14842309529046,14842312678183,14842319190222,14842319203397,14842319283216,14842320092744,14842320866069,14842320930768,14842321786489,14842321991710,14842323907098,14842323913999,14842323914286,14842324080710,14842324241817,14842325210817,14842327053362,14842327553396,14842328007707,14842328542088,14842328828583,14842328852051,14842328865167
7466890789594,14842319197473,14842322330105,14842328871002,14842328881555,14842328964320,14842329738002,14842330531481,14842330582942,14842331438023,14842331666383,14842333626646,14842333633678,14842333633919,14842333711730,14842333880326,14842334800467,14842336594708,14842336921195,14842337376665,14842338020970,14842338329975,14842338358557,14842338372381
7466924079694,14842328876703,14842332004597,14842338378369,14842338392488,14842338497689,14842339126222,14842339836979,14842339890469,14842340755610,14842340940352,14842342914309,14842342920892,14842342921139,14842343039319,14842343209443,14842344128223,14842346072070,14842346507504,14842346979737,14842347618875,14842347932039,14842347957317,14842347971401
7466957369294,14842338385057,14842341503348,14842347976991,14842347988418,14842348066768,14842349174766,14842349921061,14842349956239,14842350812794,14842351093531,14842353069836,14842353077132,14842353077392,14842353214557,14842353891219,14842355295994,14842357441483,14842357860338,14842358321983,14842359124703,14842359496750,14842359680707,14842359694250
7466990657294,14842347983344,14842351102618,14842359709346,14842359722608,14842359791218,14842361453609,14842362400622,14842362434317,14842363261656,14842363529374,14842365429152,14842365435439,14842365435729,14842365513876,14842365715020,14842366996732,14842369279735,14842369792554,14842370327880,14842371074588,14842371453725,14842371492784,14842371508194
7467023947494,14842359715886,14842362967969,14842371515156,14842371529117,14842371600785,14842372241425,14842373024598,14842373072407,14842373916340,14842374132140,14842376066259,14842376073671,14842376073897,14842376208389,14842376406045,14842377697196,14842379806548,14842380370765,14842380878832,14842381510919,14842381976533,14842382009257,14842382019025
7467057237294,14842371522460,14842374595918,14842382024746,14842382036781,14842382162125,14842382924339,14842383722085,14842383759449,14842384541519,14842384813410,14842386643341,14842386649846,14842386650089,14842386773804,14842387047829,14842388144863,14842390172101,14842390624438,14842391216538,14842391980395,14842392412989,14842392444251,14842392459577
7467090530894,14842382030306,14842385188803,14842392465395,14842392476947,14842392583685,14842393293583,14842394062861,14842394090596,14842394848423,14842395095369,14842396933347,14842396939919,14842396940149,14842397016119,14842397555803,14842398730438,14842400774345,14842401264543,14842401854035,14842402590968,14842402954694,14842402985195,14842402997679
