#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9982008306408,14472433127368,14472443046542,14472452472078,14472452486009,14472452551915,14472456568593,14472457597835,14472457797489,14472459802202,14472460302234,14472462419285,14472462431121,14472462431403,14472462536664,14472463246565,14472465553034,14472469506902,14472470097025,14472470804194,14472471739279,14472472209177,14472472504849,14472472515412
9982026812408,14472452480288,14472462327626,14472472520651,14472472533647,14472472602361,14472476636109,14472477662932,14472477869322,14472479771061,14472480347781,14472482366693,14472482376428,14472482376681,14472482481536,14472484983484,14472487173076,14472490257194,14472490928646,14472491535110,14472492411015,14472492886179,14472492924236,14472492930446
9982045320408,14472472524533,14472482489331,14472492934806,14472492940057,14472492986028,14472496848045,14472497870849,14472498067850,14472500012757,14472500487719,14472502634402,14472502642743,14472502643039,14472502790685,14472503023517,14472504565378,14472507060980,14472507527239,14472508091652,14472508703087,14472509475890,14472509577155,14472509585386
9982063826408,14472492938683,14472505577657,14472509589666,14472509595213,14472509627013,14472513397748,14472514306288,14472514427080,14472516361784,14472516972824,14472519131896,14472519139999,14472519140269,14472519247511,14472519531975,14472521247523,14472523840717,14472524440366,14472525093837,14472525771270,14472526145227,14472526170913,14472526284520
9982082335408,14472509592332,14472519358810,14472526296617,14472526307486,14472526337323,14472529598957,14472530691496,14472530808420,14472532743530,14472533205996,14472535119539,14472535129845,14472535130260,14472535245863,14472535500176,14472537150600,14472539731902,14472540217913,14472540726780,14472541429888,14472541793571,14472541820094,14472541825097
9982100844408,14472526309441,14472536024022,14472541827713,14472541833595,14472541859952,14472546125227,14472547126182,14472547227475,14472549140620,14472549632862,14472551645582,14472551655904,14472551656205,14472551666853,14472551860302,14472553099261,14472555164971,14472555579940,14472556109461,14472556728834,14472557028536,14472557047842,14472557052583
9982119347408,14472541830166,14472553075923,14472557056328,14472557061723,14472557098519,14472561143086,14472562121811,14472562250311,14472564387668,14472564895347,14472566925858,14472566935395,14472566935643,14472567060117,14472567259053,14472568676783,14472571070119,14472571653250,14472572229470,14472572895550,14472573247358,14472573270568,14472573276526
9982137854408,14472557059641,14472566803190,14472573280582,14472573287351,14472573319460,14472577128825,14472578041569,14472578156349,14472580250452,14472580705061,14472582743460,14472582752079,14472582752385,14472582866568,14472583520394,14472585407281,14472588086158,14472588493646,14472588978881,14472589623035,14472589931960,14472590122393,14472590126930
9982156362408,14472573283994,14472583021551,14472590131459,14472590136548,14472590174625,14472594174873,14472595103045,14472595237680,14472597358780,14472597791737,14472599822153,14472599832577,14472599832828,14472599927128,14472600144287,14472601469609,14472603707720,14472604148304,14472604548658,14472605078516,14472605342912,14472605361622,14472605369490
9982174868408,14472590134971,14472600135113,14472605372088,14472605473876,14472605537115,14472608481881,14472609351517,14472609451031,14472611575770,14472612025585,14472613890050,14472613897486,14472613897751,14472614014077,14472614213187,14472615686627,14472618077623,14472618512142,14472618974639,14472619574612,14472620354690,14472620419547,14472620515009
9982193375408,14472605374711,14472615013330,14472620521818,14472620645570,14472620719924,14472624640940,14472625371514,14472625531512,14472627633674,14472628095985,14472630082083,14472630093644,14472630093903,14472630181932,14472630374354,14472631858868,14472634244070,14472634655397,14472635090115,14472635672358,14472636013560,14472636032701,14472636142620
9982211883408,14472620531800,14472630496767,14472636150841,14472636296500,14472636367639,14472637970291,14472638871722,14472638959251,14472641020540,14472641446301,14472643312470,14472643320937,14472643321240,14472643481429,14472645030240,14472646022367,14472647829188,14472648181746,14472648575532,14472649049206,14472649298615,14472649315687,14472649423270
9982230389408,14472636162207,14472647547571,14472649430272,14472649440427,14472649469639,14472653325138,14472654248846,14472654409473,14472656507997,14472657027515,14472658964220,14472658972164,14472658972502,14472659083949,14472659285578,14472660356457,14472662162779,14472662549721,14472663018832,14472663498724,14472663772095,14472663790048,14472663794228
9982248895408,14472649440769,14472659320539,14472663797927,14472663907813,14472663975710,14472668093114,14472668951170,14472669054616,14472671059140,14472671558226,14472673599524,14472673607162,14472673607445,14472673710145,14472673927124,14472675116136,14472677022681,14472677406499,14472677864405,14472678363176,14472678676522,14472678694846,14472678699927
9982267404408,14472663801059,14472673587849,14472678702989,14472678708724,14472678736454,14472682700664,14472683613534,14472683734035,14472685756276,14472686260335,14472688177510,14472688184521,14472688184814,14472688324532,14472688816325,14472690785799,14472692979181,14472693460079,14472693978886,14472694581318,14472694960242,14472695173780,14472695293869
9982304420408,14472678706437,14472688398393,14472695306527,14472695317742,14472695367608,14472698477827,14472699469233,14472699642882,14472701866312,14472702325160,14472704159251,14472704166382,14472704166946,14472704278403,14472704542419,14472705949891,14472707889095,14472708301595,14472708736113,14472709355099,14472709801896,14472709834866,14472709840923
9982322924408,14472695318093,14472705303725,14472709844727,14472709852824,14472709879923,14472712876203,14472713697518,14472713779807,14472715833720,14472716265263,14472718133222,14472718142088,14472718142383,14472718217163,14472718401260,14472719637514,14472721553345,14472721933326,14472722361426,14472722791088,14472723281633,14472723401750,14472723416557
9982341431408,14472709848005,14472723121215,14472723423009,14472723432103,14472723470302,14472727358921,14472728153264,14472728228677,14472730459633,14472730849740,14472732877117,14472732884283,14472732884555,14472732970235,14472733161339,14472734398226,14472736229761,14472736557841,14472736939890,14472737382975,14472737672231,14472737689884,14472737695420
9982359937408,14472723430200,14472733254379,14472737730242,14472737735394,14472737761808,14472741838450,14472742665605,14472742749906,14472744886762,14472745337181,14472747284796,14472747297318,14472747297592,14472747422254,14472747611681,14472749344805,14472751376891,14472751751443,14472752229908,14472752752867,14472753106631,14472753129995,14472753137572
9982378445408,14472737732493,14472747477948,14472753139774,14472753144645,14472753172939,14472757122446,14472757844942,14472757902467,14472760144608,14472760638843,14472762689439,14472762697444,14472762697714,14472762838708,14472763033761,14472764099176,14472765829870,14472766168059,14472766560742,14472766964745,14472767223035,14472767240521,14472767244531
