#t_ns,in_ts
7703943597015,11237933677260
7703976888215,11237990634220
7704010183915,11238047200887
7704043466715,11238096179174
7704076755415,11238132587938
7704110043815,11238175265064
7704143336015,11238216341524
7704176622815,11238258840521
7704209912015,11238299030948
7704243202615,11238351352993
7704276492015,11238393328274
7704309780815,11238435038392
7704343070815,11238479130118
7704376360215,11238527267031
7704409657515,11238571251615
7704442941215,11238613784543
7704476227315,11238658746217
7704509517815,11238708187552
7704542811715,11238752284611
7704576099015,11238799931709
7704609386315,11238844353778
7704642683415,11238888611323
7704675963715,11238922990341
7704709254315,11238972588040
7704742549915,11239004060129
7704775831915,11239047870197
7704809122615,11239071778403
7704842412115,11239101386809
7704875729215,11239147067078
7704908989615,11239191439916
7704942278415,11239233551203
7704975568915,11239277551994
7705008858415,11239322247141
7705042147015,11239369852987
7705075436915,11239399683318
7705108727815,11239432944388
7705142014515,11239461331263
7705175307315,11239499553932
7705208594215,11239528807877
7705241883915,11239555104015
7705275178915,11239582873235
7705308461915,11239614636529
7705341752815,11239642997954
7705375049215,11239674129597
7705408330315,11239704281992
7705441621115,11239735232847
7705474917415,11239763165005
7705508197815,11239797193401
7705541488215,11239832545355
7705574778115,11239856268433
7705608067215,11239889607620
7705641356815,11239920573317
7705674645315,11239952027685
7705707935615,11239979976534
7705741242215,11240009455405
7705774513015,11240037065937
7705807803715,11240067273989
7705841101715,11240093651418
7705874381915,11240123781841
7705907674515,11240153959599
7705940961615,11240178569432
7705974250715,11240208320398
7706007545515,11240234810744
7706040828215,11240266568487
7706074118815,11240305469266
7706107412915,11240335278636
7706140696415,11240367218100
7706173986615,11240399803386
7706207314715,11240431947191
7706240564215,11240462404583
7706273854915,11240492734492
7706307144815,11240520910901
7706340435615,11240550462288
7706373723215,11240578841513
7706407010915,11240608744271
7706440302915,11240643663895
7706473607515,11240676898064
7706506879715,11240708921438
7706540170415,11240738489056
7706573460115,11240766458614
7706606747415,11240795608617
7706640038915,11240822878510
7706673329315,11240848293302
7706706617815,11240878820646
7706739911715,11240909591861
7706773194715,11240937143915
7706806486015,11240963553537
7706839779015,11240991405954
7706873063015,11241020133851
7706906353515,11241044344808
7706939648715,11241067592400
7706972931015,11241087642613
7707006221715,11241115335901
7707039515715,11241144459119
7707072821615,11241173906205
7707106089815,11241202319361
7707139377615,11241229204330
7707172691415,11241255149993
7707205956115,11241274909933
7707239245915,11241301169131
7707272536415,11241322873250
7707305825615,11241351748275
7707339114315,11241373320898
7707372406715,11241393866863
7707405694815,11241420895430
7707438982015,11241446994514
7707472278415,11241467385294
7707505561115,11241492015536
7707538890915,11241516581636
7707572145815,11241541737389
7707605428915,11241564019641
7707638719515,11241589568577
7707672015515,11241615146126
7707705297215,11241642508185
7707738587615,11241669961875
7707771881815,11241697284537
7707805165415,11241723271229
7707838455615,11241749388414
7707871744115,11241777064625
7707905034415,11241805335484
7707938323515,11241834948122
7707971612415,11241863196060
7708004902815,11241891997858
7708038192815,11241923293920
7708071480515,11241953861584
7708104771715,11241987071766
7708138060515,11242018673614
7708171348515,11242052690349
7708204644615,11242087477049
7708237927515,11242120904704
7708271217815,11242154908070
7708304512315,11242189680839
7708337795215,11242225130095
7708371089215,11242260783376
7708404403815,11242295814835
7708437663715,11242330646986
7708470954115,11242367058216
7708504281815,11242388199464
7708537531215,11242418762552
