#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9922452839408,18026955748053,18026964345221,18026966806596,18026966815527,18026966880362,18026969750216,18026970703708,18026970706453,18026972531430,18026972887486,18026976423988,18026976434865,18026976435178,18026976566483,18026976782480,18026977207641,18026977746762,18026977911810,18026978172101,18026978644172,18026979049891,18026979090961,18026979106863
9922471346408,18026966813646,18026975468787,18026979113532,18026979124021,18026979181682,18026982249814,18026983139309,18026983142290,18026984931390,18026985263576,18026988879739,18026988889846,18026988890128,18026989023079,18026989186700,18026990164469,18026991608402,18026992011503,18026992694175,18026993277393,18026993772265,18026993825186,18026993845980
9922489853408,18026979119937,18026987734378,18026993855344,18026993868663,18026993956244,18026995772016,18026996676206,18026996679088,18026998519627,18026998886870,18027002564457,18027002573670,18027002573935,18027002651240,18027002860450,18027003204738,18027003733681,18027003931414,18027004170487,18027004631150,18027005017829,18027005055873,18027005069089
9922508362408,18026993863797,18027002516017,18027005074378,18027005084652,18027005148993,18027008182723,18027009041205,18027009044095,18027010760615,18027011112573,18027014599982,18027014609385,18027014609829,18027014733404,18027014929986,18027015244701,18027015794479,18027015987566,18027016222352,18027016609537,18027017042945,18027017075213,18027017087247
9922526871408,18027005078966,18027013842098,18027017089518,18027017093158,18027017148636,18027020342830,18027021330162,18027021333625,18027023174395,18027023470658,18027026754560,18027026764512,18027026764796,18027026857502,18027027862972,18027029245140,18027030925096,18027031426076,18027032045232,18027032940685,18027033540619,18027033613329,18027033631541
9922545374408,18027017091565,18027025549334,18027033638613,18027033650092,18027033727560,18027035996599,18027036903916,18027036906895,18027038714418,18027039004975,18027042373403,18027042382314,18027042382598,18027042464252,18027042727737,18027043222259,18027043857788,18027044155187,18027044432330,18027045129063,18027045663874,18027045722849,18027045736870
9922563883408,18027033645151,18027042231466,18027045743181,18027045752854,18027045817476,18027048795435,18027049704208,18027049706944,18027051562725,18027051919119,18027055260957,18027055270045,18027055270350,18027055423507,18027055666698,18027055944900,18027056371895,18027056542164,18027056727064,18027057298895,18027057747058,18027057794667,18027057806368
9922582389408,18027045748657,18027054241346,18027057810736,18027057819659,18027057882255,18027060918843,18027061890443,18027061893898,18027063723035,18027064083555,18027067348343,18027067358305,18027067358590,18027067441619,18027067675398,18027068329964,18027068988697,18027069384731,18027069718912,18027070408149,18027070969182,18027071046286,18027071062457
9922600895408,18027057815124,18027066342286,18027071066864,18027071077348,18027071159565,18027074125787,18027074946407,18027074950052,18027076790457,18027077108783,18027080313693,18027080324003,18027080324326,18027080405506,18027080635353,18027081165353,18027081682467,18027081857780,18027082043977,18027082635894,18027083181442,18027083238588,18027083252202
9922619402408,18027071071209,18027079574201,18027083328421,18027083338447,18027083395688,18027085214090,18027086248027,18027086250894,18027088035419,18027088382512,18027091677306,18027091685044,18027091685332,18027091794068,18027092016020,18027092310042,18027092752908,18027092997967,18027093183793,18027093761029,18027094312977,18027094364581,18027094376944
9922656418408,18027083331529,18027091826247,18027094381918,18027094391407,18027094503079,18027096376257,18027097344403,18027097346972,18027099240849,18027099658888,18027103037664,18027103046142,18027103046498,18027103164624,18027103422301,18027104486284,18027106099899,18027106544547,18027107148606,18027107949793,18027108543355,18027108599736,18027108611307
9922674925408,18027094386130,18027102931279,18027108616080,18027108624233,18027108691804,18027110900908,18027111804822,18027111808013,18027113619343,18027114045360,18027117292237,18027117300629,18027117300922,18027117419167,18027118168558,18027119504905,18027121121205,18027121636744,18027122386180,18027123209482,18027123786589,18027123860880,18027123876924
9922693429408,18027108620456,18027117193989,18027123883468,18027123897824,18027123978613,18027126912242,18027127841469,18027127844080,18027129777740,18027130161867,18027133348389,18027133356178,18027133356471,18027133470929,18027133710914,18027134847713,18027136455869,18027136977073,18027137530118,18027138468674,18027138998117,18027139051837,18027139066345
9922711937408,18027123889474,18027132350185,18027139073171,18027139084494,18027139142247,18027142275084,18027143358212,18027143360834,18027145284946,18027145654969,18027148760559,18027148769194,18027148769272,18027148856903,18027149076705,18027150464870,18027152133855,18027152722152,18027153484428,18027154243895,18027154679686,18027154724668,18027154740096
9922730445408,18027139078935,18027147585852,18027154746078,18027154756220,18027154819180,18027157152981,18027157926777,18027157929413,18027159931103,18027160264477,18027163394845,18027163402114,18027163402615,18027163521613,18027163761965,18027164362609,18027165017516,18027165181482,18027165361004,18027166050262,18027166666625,18027166723800,18027166738682
9922748951408,18027154751229,18027163190826,18027166743849,18027166753716,18027166819065,18027169823656,18027170634274,18027170636705,18027172714457,18027173087326,18027176146687,18027176153125,18027176153459,18027176267799,18027176483284,18027177992203,18027179696779,18027180310809,18027181138233,18027182020779,18027182594903,18027182653826,18027182669492
9922767459408,18027166748348,18027175257778,18027182676637,18027182689366,18027182764155,18027185915627,18027186740109,18027186742482,18027188866523,18027189267962,18027192448081,18027192455849,18027192456131,18027192553018,18027192769541,18027193349888,18027194014915,18027194212443,18027194426588,18027195074265,18027195826626,18027195883689,18027195897764
9922785966408,18027182681887,18027191190034,18027195902253,18027195912558,18027195981349,18027197953923,18027198685590,18027198687845,18027200843694,18027201239832,18027204475787,18027204482016,18027204482090,18027204602701,18027204800801,18027205493441,18027206195831,18027206364820,18027206582931,18027207096042,18027207845052,18027207896437,18027207910113
9922804473408,18027195906589,18027204396647,18027207914137,18027207925136,18027207992606,18027211110285,18027211821492,18027211823759,18027213992178,18027214398420,18027217567820,18027217578248,18027217578542,18027217668458,18027218302638,18027219474874,18027220810794,18027221280861,18027221959697,18027222535824,18027223271270,18027223329446,18027223346880
9922822979408,18027207917875,18027216403219,18027223352736,18027223364098,18027223437624,18027225637430,18027226356385,18027226358348,18027228488330,18027228919797,18027232055961,18027232064877,18027232064957,18027232150865,18027232335476,18027232557588,18027232926078,18027233083972,18027233296172,18027233792268,18027234342786,18027234384270,18027234399022
9922841487408,18027223357987,18027231701819,18027234405140,18027234415193,18027234479830,18027236365411,18027237083773,18027237085161,18027239195346,18027239574134,18027242902486,18027242908937,18027242909018,18027242992876,18027243163049,18027243418313,18027243748178,18027243841801,18027244015060,18027244389527,18027244953306,18027244972165,18027244985627
